week_ending,orig_forecast,curr_forecast,weekly_crush,to_date_crush,to_date_crush_pc,weekly_ccs,to_date_ccs
2018-06-03,34264500,34094500,55259,55259,0.002,10.59,10.59
2018-06-10,34264500,34094500,212666,267925,0.008,11.19,11.07
2018-06-17,34264500,34264500,741101,1009026,0.028999999999999998,12.19,11.88
2018-06-25,34264500,34334500,1346559,2460795,0.07200000000000001,12.64,12.24
2018-07-01,34264500,34380500,1312701,3773489,0.11,12.78,12.43
2018-07-08,34264500,34380500,1315246,5088847,0.14800000000000002,12.89,12.55
2018-07-15,34264500,34380500,1574149,6663042,0.19399999999999998,13.3,12.72
2018-07-22,34264500,34380500,1548704,8211784,0.239,13.51,12.87
2018-07-29,34264500,33755500,1608419,9823204,0.29100000000000004,13.74,13.02
2018-08-05,34264500,33775500,1562760,11386061,0.337,14.03,13.15
2018-08-12,34264500,33775500,1558209,12944201,0.38299999999999995,14.29,13.29
2018-08-19,34264500,33641000,1600737,14544913,0.43200000000000005,14.5,13.42
2018-08-26,34264500,33576000,1525527,16070603,0.479,14.74,13.55
2018-09-02,34264500,33576000,1521995,17592642,0.524,14.79,13.66
2018-09-09,34264500,33541000,1497059,19089657,0.569,14.96,13.76
2018-09-16,34264500,33141000,1500322,20589972,0.621,15.12,13.86
2018-09-23,34264500,33160000,1524481,22114458,0.667,15.23,13.95
2018-09-30,34264500,33046000,1533366,23647825,0.716,15.37,14.04
2018-10-07,34264500,33026000,1405654,25053491,0.759,15.42,14.12
2018-10-14,34264500,33026000,1364817,26418308,0.8,15.32,14.18
2018-10-21,34334500,32856715,1089783,27508092,0.8370000000000001,15.24,14.22
2018-10-28,34334500,32856715,1263319,28771411,0.8759999999999999,15.12,14.26
2018-11-04,34334500,32784584,1210869,29982292,0.915,14.90,14.29
0018-11-11,34334500,32638473,995339,30978022,0.9490000000000001,14.76,14.30
0018-11-18,34334500,32527869,621169,31599597,0.971,14.40,14.30
0018-11-25,34334500,32527869,429048,32028739,0.985,14.23,14.31
0018-12-02,34334500,32484906,267920,32296661,0.9940000000000001,14.00,14.30
0018-12-09,34334500,32470044,131780,32438441,0.9990000000000001,13.74,14.30
